page_id,url,canonical_url,status,page_type,redirect_from,title,h1,last_changed
pg_0017,https://www.orangejelly.co.uk/why-revenue-is-falling,https://www.orangejelly.co.uk/why-revenue-is-falling,live,landing,https://www.orangejelly.co.uk/licensees-guide/cash-flow-crisis-breaking-cycle,,,2026-08-31
pg_0018,https://www.orangejelly.co.uk/tools/ai-readiness,https://www.orangejelly.co.uk/tools/ai-readiness,live,tool,,,,2026-08-31
pg_0019,https://www.orangejelly.co.uk/guides/quiz-night-101,https://www.orangejelly.co.uk/guides/quiz-night-101,live,guide,https://www.orangejelly.co.uk/licensees-guide/quiz-night-101,,,2026-08-31
pg_0020,https://www.orangejelly.co.uk/guides/quiz-night-ideas,https://www.orangejelly.co.uk/guides/quiz-night-ideas,live,guide,https://www.orangejelly.co.uk/licensees-guide/quiz-night-ideas,,,2026-08-31
pg_0021,https://www.orangejelly.co.uk/guides/profitable-pub-food-menu-ideas,https://www.orangejelly.co.uk/guides/profitable-pub-food-menu-ideas,live,guide,https://www.orangejelly.co.uk/licensees-guide/profitable-pub-food-menu-ideas,,,2026-08-31
pg_0022,https://www.orangejelly.co.uk/guides/cash-bingo-101,https://www.orangejelly.co.uk/guides/cash-bingo-101,live,guide,https://www.orangejelly.co.uk/licensees-guide/cash-bingo-101,,,2026-08-31
pg_0023,https://www.orangejelly.co.uk/guides/music-bingo-101,https://www.orangejelly.co.uk/guides/music-bingo-101,live,guide,https://www.orangejelly.co.uk/licensees-guide/music-bingo-101,,,2026-08-31
pg_0024,https://www.orangejelly.co.uk/guides/social-media-strategy-for-pubs,https://www.orangejelly.co.uk/guides/social-media-strategy-for-pubs,live,guide,https://www.orangejelly.co.uk/licensees-guide/social-media-strategy-for-pubs,,,2026-08-31
pg_0025,https://www.orangejelly.co.uk/guides/cellar-management-beer-quality-guide,https://www.orangejelly.co.uk/guides/cellar-management-beer-quality-guide,live,guide,https://www.orangejelly.co.uk/licensees-guide/cellar-management-beer-quality-guide,,,2026-08-31
pg_0026,https://www.orangejelly.co.uk/guides/national-drinks-days-pub-guide,https://www.orangejelly.co.uk/guides/national-drinks-days-pub-guide,live,guide,https://www.orangejelly.co.uk/licensees-guide/national-drinks-days-pub-guide,,,2026-08-31
pg_0027,https://www.orangejelly.co.uk/guides/pub-event-ideas,https://www.orangejelly.co.uk/guides/pub-event-ideas,live,guide,https://www.orangejelly.co.uk/licensees-guide/pub-event-ideas,,,2026-08-31
pg_0028,https://www.orangejelly.co.uk/guides/pub-refurbishment-on-budget,https://www.orangejelly.co.uk/guides/pub-refurbishment-on-budget,live,guide,https://www.orangejelly.co.uk/licensees-guide/pub-refurbishment-on-budget,,,2026-08-31
pg_0029,https://www.orangejelly.co.uk/guides/instagram-marketing-for-pubs,https://www.orangejelly.co.uk/guides/instagram-marketing-for-pubs,live,guide,https://www.orangejelly.co.uk/licensees-guide/instagram-marketing-for-pubs,,,2026-08-31
pg_0030,https://www.orangejelly.co.uk/guides/pub-bingo,https://www.orangejelly.co.uk/guides/pub-bingo,planned,guide,,,,
pg_0031,https://www.orangejelly.co.uk/guides/summer-pub-event-ideas,https://www.orangejelly.co.uk/guides/summer-pub-event-ideas,live,guide,https://www.orangejelly.co.uk/licensees-guide/summer-pub-event-ideas,,,2026-08-31
pg_0032,https://www.orangejelly.co.uk/guides/content-marketing-ideas-pubs,https://www.orangejelly.co.uk/guides/content-marketing-ideas-pubs,live,guide,https://www.orangejelly.co.uk/licensees-guide/content-marketing-ideas-pubs,,,2026-08-31
pg_0033,https://www.orangejelly.co.uk/guides/christmas-pub-promotion-ideas,https://www.orangejelly.co.uk/guides/christmas-pub-promotion-ideas,live,guide,https://www.orangejelly.co.uk/licensees-guide/christmas-pub-promotion-ideas,,,2026-08-31
pg_0034,https://www.orangejelly.co.uk/guides/summer-moments-simple-campaigns,https://www.orangejelly.co.uk/guides/summer-moments-simple-campaigns,live,guide,https://www.orangejelly.co.uk/licensees-guide/summer-moments-simple-campaigns,,,2026-08-31
pg_0035,https://www.orangejelly.co.uk/guides/macmillan-coffee-morning-pub-guide,https://www.orangejelly.co.uk/guides/macmillan-coffee-morning-pub-guide,live,guide,https://www.orangejelly.co.uk/licensees-guide/macmillan-coffee-morning-pub-guide,,,2026-08-31
pg_0036,https://www.orangejelly.co.uk/guides/midweek-pub-offers-that-work,https://www.orangejelly.co.uk/guides/midweek-pub-offers-that-work,live,guide,https://www.orangejelly.co.uk/licensees-guide/midweek-pub-offers-that-work,,,2026-08-31
pg_0037,https://www.orangejelly.co.uk/guides/compete-with-wetherspoons,https://www.orangejelly.co.uk/guides/compete-with-wetherspoons,live,guide,https://www.orangejelly.co.uk/licensees-guide/compete-with-wetherspoons,,,2026-08-31
pg_0038,https://www.orangejelly.co.uk/guides/pub-vat-accounting-guide,https://www.orangejelly.co.uk/guides/pub-vat-accounting-guide,live,guide,https://www.orangejelly.co.uk/licensees-guide/pub-vat-accounting-guide,,,2026-08-31
