keyword_id,canonical_text,submitted_text,intent,brand_flag,eligibility,avoid_reason,avoid_scope,lifecycle,sources,primary_cluster_id,secondary_cluster_ids,first_seen_run,last_seen_run,notes
kw_000052,pub rebrand,pub rebrand,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000053,bar staff interview questions,bar staff interview questions,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000054,bar staff training,bar staff training,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000055,hospitality staff shortage,hospitality staff shortage,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000056,how to retain bar staff,how to retain bar staff,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000057,national minimum wage hospitality,national minimum wage hospitality,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000058,pub rota planning,pub rota planning,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000059,pub staff handbook,pub staff handbook,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000060,pub staff recruitment,pub staff recruitment,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000061,tronc scheme pubs,tronc scheme pubs,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000062,failing pub advice,failing pub advice,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000063,fix my pub,fix my pub,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000064,pub business support uk,pub business support uk,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000065,pub turnaround,pub turnaround,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000066,struggling pub help,struggling pub help,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
kw_000067,how to save a failing pub,how to save a failing pub,,,eligible,,,candidate,volumes,,,2026-08-09-01-legacy,2026-08-09-01-legacy,
