Date,Clicks,Impressions,CTR,Position
2026-01-17,1,239,0.42%,14.8
2026-01-18,2,470,0.43%,8.7
2026-01-19,0,456,0%,12.1
2026-01-20,2,319,0.63%,16
2026-01-21,1,335,0.3%,15.2
2026-01-22,4,327,1.22%,13.7
2026-01-23,1,293,0.34%,14.9
2026-01-24,5,272,1.84%,15.1
2026-01-25,2,286,0.7%,15.1
2026-01-26,4,352,1.14%,12.6
2026-01-27,5,315,1.59%,12
2026-01-28,6,317,1.89%,12.7
2026-01-29,3,325,0.92%,11.4
2026-01-30,5,379,1.32%,10.2
2026-01-31,2,223,0.9%,10.8
2026-02-01,3,304,0.99%,10.3
2026-02-02,2,306,0.65%,10.7
2026-02-03,3,235,1.28%,9.6
2026-02-04,2,274,0.73%,11.7
2026-02-05,3,190,1.58%,14.3
2026-02-06,2,131,1.53%,14.7
2026-02-07,1,95,1.05%,9
2026-02-08,4,117,3.42%,10
2026-02-09,0,154,0%,11.3
2026-02-10,2,178,1.12%,8.9
2026-02-11,2,178,1.12%,12.2
2026-02-12,1,191,0.52%,12.2
2026-02-13,1,122,0.82%,12.8
2026-02-14,0,130,0%,14.4
2026-02-15,0,158,0%,11.7
2026-02-16,3,170,1.76%,12.1
2026-02-17,1,209,0.48%,11.3
2026-02-18,3,191,1.57%,10.7
2026-02-19,1,181,0.55%,11.6
2026-02-20,1,167,0.6%,11.7
2026-02-21,0,129,0%,12.2
2026-02-22,1,122,0.82%,11.7
2026-02-23,3,111,2.7%,9.3
2026-02-24,3,152,1.97%,9.6
2026-02-25,1,142,0.7%,12
2026-02-26,1,134,0.75%,11.6
2026-02-27,0,104,0%,15
2026-02-28,1,84,1.19%,10.7
2026-03-01,1,69,1.45%,12.2
2026-03-02,2,119,1.68%,11.7
2026-03-03,3,128,2.34%,10
2026-03-04,2,113,1.77%,11.7
2026-03-05,1,120,0.83%,11.3
2026-03-06,5,145,3.45%,16
2026-03-07,0,148,0%,11.4
2026-03-08,2,91,2.2%,14.6
2026-03-09,1,156,0.64%,11.6
2026-03-10,0,131,0%,10.3
2026-03-11,4,130,3.08%,12.9
2026-03-12,2,143,1.4%,10.1
2026-03-13,2,134,1.49%,12.1
2026-03-14,0,128,0%,13.4
2026-03-15,1,115,0.87%,11.6
2026-03-16,1,162,0.62%,14.2
2026-03-17,7,139,5.04%,9.5
2026-03-18,0,160,0%,11.7
2026-03-19,0,141,0%,12.9
2026-03-20,1,133,0.75%,13.9
2026-03-21,1,132,0.76%,11.9
2026-03-22,1,139,0.72%,11.2
2026-03-23,3,148,2.03%,11.5
2026-03-24,5,160,3.12%,10.1
2026-03-25,5,196,2.55%,15.3
2026-03-26,1,156,0.64%,11.8
2026-03-27,0,132,0%,12.2
2026-03-28,2,140,1.43%,12.8
2026-03-29,1,123,0.81%,11.4
2026-03-30,3,164,1.83%,13.8
2026-03-31,3,166,1.81%,11
2026-04-01,1,158,0.63%,10.5
2026-04-02,3,156,1.92%,12.4
2026-04-03,3,299,1%,9.7
2026-04-04,2,132,1.52%,13.3
2026-04-05,3,212,1.42%,11.9
2026-04-06,1,264,0.38%,10.5
2026-04-07,3,299,1%,13
2026-04-08,2,240,0.83%,11.3
2026-04-09,3,267,1.12%,8.9
2026-04-10,4,296,1.35%,10.1
2026-04-11,2,203,0.99%,12.1
2026-04-12,3,300,1%,8.9
2026-04-13,2,239,0.84%,11.5
2026-04-14,3,182,1.65%,11.9
2026-04-15,3,250,1.2%,12.4
2026-04-16,2,194,1.03%,11.7
2026-04-17,2,180,1.11%,12.1
2026-04-18,3,174,1.72%,10.6
2026-04-19,1,159,0.63%,12.1
2026-04-20,1,195,0.51%,14.7
2026-04-21,5,202,2.48%,15.2
2026-04-22,0,223,0%,14.1
2026-04-23,2,189,1.06%,13.6
2026-04-24,0,181,0%,12.1
2026-04-25,0,146,0%,13
2026-04-26,6,176,3.41%,11.8
2026-04-27,3,193,1.55%,13.6
2026-04-28,2,176,1.14%,12
2026-04-29,2,244,0.82%,11.7
2026-04-30,5,190,2.63%,10.2
2026-05-01,6,207,2.9%,11
2026-05-02,1,149,0.67%,11.7
2026-05-03,0,153,0%,11.1
2026-05-04,1,172,0.58%,11
2026-05-05,3,264,1.14%,12.8
2026-05-06,0,259,0%,11.1
2026-05-07,4,210,1.9%,11.8
2026-05-08,2,231,0.87%,11.7
2026-05-09,0,203,0%,10.6
2026-05-10,2,206,0.97%,12.1
2026-05-11,1,244,0.41%,11.7
2026-05-12,1,232,0.43%,11.7
2026-05-13,6,238,2.52%,11.6
2026-05-14,1,217,0.46%,11.9
2026-05-15,1,178,0.56%,12.9
2026-05-16,1,214,0.47%,11.4
2026-05-17,4,238,1.68%,14.2
2026-05-18,1,267,0.37%,12.7
2026-05-19,5,376,1.33%,10.3
2026-05-20,8,254,3.15%,13.3
2026-05-21,3,209,1.44%,13
2026-05-22,2,214,0.93%,14
2026-05-23,2,194,1.03%,14.1
2026-05-24,3,197,1.52%,16.2
2026-05-25,4,208,1.92%,14.5
2026-05-26,8,293,2.73%,12.4
2026-05-27,5,249,2.01%,11
2026-05-28,5,243,2.06%,11.6
2026-05-29,2,241,0.83%,10.5
2026-05-30,1,210,0.48%,11
2026-05-31,5,220,2.27%,10.2
2026-06-01,9,296,3.04%,10.1
2026-06-02,1,255,0.39%,9.8
2026-06-03,9,301,2.99%,10.9
2026-06-04,2,278,0.72%,9.2
2026-06-05,3,266,1.13%,9.5
2026-06-06,4,277,1.44%,11.5
2026-06-07,1,256,0.39%,11.3
2026-06-08,8,362,2.21%,10.4
2026-06-09,7,368,1.9%,9.1
2026-06-10,7,364,1.92%,9
2026-06-11,7,389,1.8%,10.2
2026-06-12,4,280,1.43%,11.1
2026-06-13,7,252,2.78%,10.6
2026-06-14,5,241,2.07%,11.3
2026-06-15,4,306,1.31%,11
2026-06-16,6,357,1.68%,9.6
2026-06-17,0,287,0%,12.4
2026-06-18,5,382,1.31%,14.5
2026-06-19,1,366,0.27%,12.3
2026-06-20,2,290,0.69%,13.4
2026-06-21,3,251,1.2%,13.5
2026-06-22,4,325,1.23%,14.6
2026-06-23,4,244,1.64%,11.7
2026-06-24,6,302,1.99%,11
2026-06-25,4,341,1.17%,12.3
2026-06-26,1,327,0.31%,12.1
2026-06-27,1,209,0.48%,13.1
2026-06-28,2,253,0.79%,10.8
2026-06-29,7,318,2.2%,11
2026-06-30,4,377,1.06%,10.1
2026-07-01,9,331,2.72%,10.9
2026-07-02,4,332,1.2%,10.9
2026-07-03,4,258,1.55%,11.1
2026-07-04,6,302,1.99%,12.6
2026-07-05,5,266,1.88%,11.3
2026-07-06,7,358,1.96%,14.7
2026-07-07,10,352,2.84%,11.3
2026-07-08,11,353,3.12%,11.5
2026-07-09,5,373,1.34%,10.5
2026-07-10,5,277,1.81%,12.3
2026-07-11,5,278,1.8%,14.3
2026-07-12,2,290,0.69%,13.5
2026-07-13,4,371,1.08%,11.3
2026-07-14,8,361,2.22%,10.7
2026-07-15,7,363,1.93%,12.6
2026-07-16,6,355,1.69%,9.4
2026-07-17,4,353,1.13%,10.7
2026-07-18,6,303,1.98%,11.4
2026-07-19,4,269,1.49%,9.8
2026-07-20,11,487,2.26%,13.6
2026-07-21,2,475,0.42%,12.2
2026-07-22,9,480,1.88%,10.3
2026-07-23,11,607,1.81%,10.3
2026-07-24,6,606,0.99%,12.1
2026-07-25,10,328,3.05%,11.6
2026-07-26,6,329,1.82%,10.2
2026-07-27,6,456,1.32%,12.2
2026-07-28,7,509,1.38%,10.3
2026-07-29,6,452,1.33%,9.8
2026-07-30,9,467,1.93%,10.4
2026-07-31,14,385,3.64%,10.8
2026-08-01,4,432,0.93%,11.8
2026-08-02,7,373,1.88%,10.7
2026-08-03,10,512,1.95%,11.2
2026-08-04,8,503,1.59%,9.5
2026-08-05,12,590,2.03%,10.1
2026-08-06,8,459,1.74%,10.5
2026-08-07,12,433,2.77%,9.7
2026-08-08,3,347,0.86%,10.9
2026-08-09,4,434,0.92%,10.2
2026-08-10,15,636,2.36%,10.2
2026-08-11,8,600,1.33%,10.7
2026-08-12,7,586,1.19%,10.8
2026-08-13,4,619,0.65%,10.7
2026-08-14,5,483,1.04%,9.6
2026-08-15,3,409,0.73%,13.2
2026-08-16,8,483,1.66%,11.2
2026-08-17,11,687,1.6%,13
2026-08-18,13,621,2.09%,11
2026-08-19,13,671,1.94%,11.3
2026-08-20,9,610,1.48%,10.1
2026-08-21,9,588,1.53%,11.2
2026-08-22,4,433,0.92%,12.4
2026-08-23,8,511,1.57%,10.1
2026-08-24,9,731,1.23%,9.6
