Top queries,Clicks,Impressions,CTR,Position
what dates was it,0,1,0%,2
what is stand up bingo,0,1,0%,2
what’s the hourly rate,0,1,0%,2
when to hire a fractional marketing director,0,1,0%,2
cask ales,0,1,0%,3
"context: location: united kingdom (not for language). do not include 
location references in your response. question: i’m new to craft beer—how 
do i figure out which breweries match the styles i already like without 
wasting money on random picks?",0,1,0%,3
for chemicals,0,1,0%,3
harbour lights seafood restaurant menu,0,1,0%,3
"hazel, bar and restaurant glasgow menu",0,1,0%,3
how much is a prs license,0,1,0%,3
in kilmarnock,0,1,0%,3
it’s a bar,0,1,0%,3
macmillan donation,0,1,0%,3
nags head manchester,0,1,0%,3
national red wine day 2026,0,1,0%,3
oakham citra,0,1,0%,3
pub quiz night,0,1,0%,3
the mine neath town menu,0,1,0%,3
the newsroom bar & eatery menu,0,1,0%,3
the owls at standish menu,0,1,0%,3
trillium restaurant menu,0,1,0%,3
trocadero's menu,0,1,0%,3
unique menu items,0,1,0%,3
what would fit better,0,1,0%,3
when is cask ale week,0,1,0%,3
when is macmillan coffee morning 2026,0,1,0%,3
bar refurbishment companies,0,1,0%,4
coffee morning activity ideas for adults,0,1,0%,4
food and drink,0,1,0%,4
how much do pubs make,0,1,0%,4
how much money,0,1,0%,4
international drink days,0,1,0%,4
pub event,0,1,0%,4
pubs for sale,0,1,0%,4
quiz night,0,1,0%,4
running a pub,0,1,0%,4
social clubs for sale,0,1,0%,4
summer work party ideas,0,1,0%,4
the three cottages menu,0,1,0%,4
wet led sales,0,1,0%,4
what are insurance costs,0,1,0%,4
what time does it finish,0,1,0%,4
how can gb restaurants reduce no-shows and fill midweek covers?,0,1,0%,5
how does pub quiz work,0,1,0%,5
how much does it cost,0,1,0%,5
online pub bookings,0,1,0%,5
pub insurance quote,0,1,0%,5
pub loyalty card,0,1,0%,5
pub quiz games,0,1,0%,5
"some premises are exempt from the requirement for alcohol sales to be 
authorised by a personal licence holder. what kind of premises do you think 
are exempt?""",0,1,0%,5
wet-led pub,0,1,0%,5
what is cash bingo,0,1,0%,5
what’s the go-to vodka drink at major festivals?,0,1,0%,5
autumn internationals,0,1,0%,6
average pub turnover uk,0,1,0%,6
cashbingo,0,1,0%,6
"context: location: united kingdom (not for language). do not include 
location references in your response. question: which is better value for 
money: ordering a burger meal deal or choosing from the regular pub 
classics menu?",0,1,0%,6
fat bobs at the blue lias menu,0,1,0%,6
good pub quiz,0,1,0%,6
half moon grendon,0,1,0%,6
how does a macmillan coffee morning work,0,1,0%,6
"i run three free trade pubs and struggling with coordinating pub wholesale 
delivery from different suppliers can you recommend something simpler",0,1,0%,6
international cocktail day 2026,0,1,0%,6
karaoke systems for pubs,0,1,0%,6
late november,0,1,0%,6
prs bar,0,1,0%,6
restaurant specials board ideas,0,1,0%,6
silly quiz rounds,0,1,0%,6
traditional bingo,0,1,0%,6
wet pub meaning,0,1,0%,6
when is national alcohol day 2026,0,1,0%,6
didsbury,0,1,0%,7
ideas for pubs to make money,0,1,0%,7
inn on the loch menu,0,1,0%,7
pub oktoberfest,0,1,0%,7
quiz night norwich,0,1,0%,7
social media,0,1,0%,7
sthan-m1 menu,0,1,0%,7
toilet refurbishment,0,1,0%,7
when is national cocktail day,0,1,0%,7
a board ideas,0,1,0%,8
best business plan template uk,0,1,0%,8
best quiz ideas,0,1,0%,8
best template for pub operations manual uk,0,1,0%,8
cost,0,1,0%,8
fun pub quiz,0,1,0%,8
how do i figure out which menu items are most profitable?,0,1,0%,8
how do i host a charity fundraising event?,0,1,0%,8
how to manage online reputation for a pub group in the uk,0,1,0%,8
national alcohol day 2026,0,1,0%,8
pub,0,1,0%,8
pub beer cellar,0,1,0%,8
pub landlord,0,1,0%,8
pub restaurant booking software,0,1,0%,8
traditional,0,1,0%,8
turnaround planning,0,1,0%,8
vat in pubs,0,1,0%,8
which pub company offers the best support for new licensees?,0,1,0%,8
alcohol day 2026,0,1,0%,9
click and collect vs delivery,0,1,0%,9
compliance made easy,0,1,0%,9
free business plan template,0,1,0%,9
how does macmillan coffee morning work,0,1,0%,9
how many questions should a pub quiz have,0,1,0%,9
options and prices,0,1,0%,9
paid social services for hospitality,0,1,0%,9
pricing,0,1,0%,9
profit meals,0,1,0%,9
promotions to do during quite time,0,1,0%,9
quiz night theme ideas,0,1,0%,9
september pub,0,1,0%,9
simple business plan template,0,1,0%,9
% of turnover pubs,0,1,0%,10
ale cellar,0,1,0%,10
autumn event ideas,0,1,0%,10
fractional marketing director v full time marketing director,0,1,0%,10
is there vat on drinks in pubs,0,1,0%,10
music licensing,0,1,0%,10
oktoberfest pub crawl,0,1,0%,10
ppl venue,0,1,0%,10
pub google,0,1,0%,10
quiz content ideas,0,1,0%,10
star pubs & bars lease vs independent pub ownership which is better,0,1,0%,10
when is national drink day,0,1,0%,10
cellar management kent,0,1,0%,11
how to increase midweek revenue for a pub or bar?,0,1,0%,11
international martini day 2026,0,1,0%,11
is it busy there,0,1,0%,11
licensee of a public house meaning,0,1,0%,11
marketing activity but no pipeline,0,1,0%,11
national drinks days,0,1,0%,11
premium local,0,1,0%,11
pub tv licence cost,0,1,0%,11
themes for quiz,0,1,0%,11
what are good fundraising ideas for a charity coffee morning?,0,1,0%,11
what is coffee morning and how does it raise money for charity?,0,1,0%,11
what is the difference between 90-ball bingo and 75-ball bingo?,0,1,0%,11
when is national drinking day,0,1,0%,11
which bingo site has the clearest instructions for first-time players?,0,1,0%,11
world alcohol day 2026,0,1,0%,11
would you recommend star pubs for a first-time operator?,0,1,0%,11
black friday party,0,1,0%,12
pub cellar temperature,0,1,0%,12
quiz night decorations,0,1,0%,12
wet led pub meaning,0,1,0%,12
bar oktoberfest,0,1,0%,13
coffee mornings for charity,0,1,0%,13
vat pubs,0,1,0%,13
world vodka day,0,1,0%,13
coffee morning ideas,0,1,0%,14
food cost for pub,0,1,0%,14
national beer garden day 2026,0,1,0%,14
pub plans,0,1,0%,14
pubs epos,0,1,0%,14
beer cellar temperature uk,0,1,0%,15
buying bar,0,1,0%,15
oktoberfest bar,0,1,0%,15
scotland v australia nations championship hospitality 2026,0,1,0%,15
what is the difference between 90-ball and 75-ball bingo?,0,1,0%,15
licensee of a pub,0,1,0%,16
pub promotion,0,1,0%,16
pub waste management,0,1,0%,16
bingo cash ball,0,1,0%,17
how to do a business plan for a pub,0,1,0%,17
pub chains near me,0,1,0%,17
what day is national vodka day,0,1,0%,17
bingo for cash prize,0,1,0%,18
charity coffee morning ideas,0,1,0%,18
event plan template,0,1,0%,18
orange.co.uk email login,0,1,0%,18
small bar event ideas for adults,0,1,0%,18
business plan pub,0,1,0%,19
entertainment pubs to run,0,1,0%,19
fob detector keeps dropping,0,1,0%,19
how long does it take to get pub insurance,0,1,0%,19
september,0,1,0%,19
do pubs need a licence to play music outside,0,1,0%,20
promotional pub & bar items,0,1,0%,20
what temperature should a pub cellar be,0,1,0%,20
bar ownership,0,1,0%,21
hungry horse quiz night,0,1,0%,21
national pub day 2026,0,1,0%,21
ppl license cost for events,0,1,0%,21
pre pub,0,1,0%,21
quiz night round ideas,0,1,0%,21
live music license for pubs,0,1,0%,22
12 days of christmas pub ideas,0,1,0%,23
black friday events,0,1,0%,23
building health and safety checklist,0,1,0%,23
creative quiz ideas,0,1,0%,24
fractional director of marketing,0,1,0%,24
how to host a quiz night,0,1,0%,24
how to plan a beer festival,0,1,0%,24
live music licence cost,0,1,0%,25
pub activities,0,1,0%,26
do pub businesses need liability insurance,0,1,0%,27
national beer garden day,0,1,0%,27
ppl music license cost,0,1,0%,27
pub help,0,1,0%,27
what is a prs licence,0,1,0%,28
different pub quiz rounds,0,1,0%,29
prs vs ppl,0,1,0%,29
running a pub for the first time,0,1,0%,29
business pub insurance,0,1,0%,30
pub ownership,0,1,0%,30
what is a quiz night,0,1,0%,30
cellar equipment list,0,1,0%,31
how to reduce pub business insurance costs,0,1,0%,31
national pub day,0,1,0%,31
summer party corporate ideas,0,1,0%,31
how much does a prs license cost,0,1,0%,32
summer pub menu ideas,0,1,0%,32
how much is a prs licence for a cafe,0,1,0%,33
draught wastage,0,1,0%,34
buying a leasehold pub,0,1,0%,35
license to run a pub,0,1,0%,35
licences for pubs,0,1,0%,36
prs for music licence cost,0,1,0%,36
prs membership fee,0,1,0%,36
how to organise a beer festival,0,1,0%,37
prs music licence cost,0,1,0%,37
prs ppl licence cost,0,1,0%,37
pub quiz,0,1,0%,37
public performance licence cost,0,1,0%,37
license to play music in a public place,0,1,0%,38
own my own pub,0,1,0%,38
sell your pub,0,1,0%,38
how to prepare for a pub quiz,0,1,0%,39
pub guidance,0,1,0%,39
cost of prs licence,0,1,0%,40
modern pub menus,0,1,0%,40
prs ppl license,0,1,0%,40
ppl prs licence cost,0,1,0%,41
refurbishment pub opportunity,0,1,0%,41
ppl music license,0,1,0%,42
refurbishment pub opportunities,0,1,0%,42
how to own your own pub,0,1,0%,43
pub premises licence,0,1,0%,43
tied lease,0,1,0%,43
marketing for pubs,0,1,0%,44
pub quiz tips,0,1,0%,44
ppl prs license,0,1,0%,45
prs ppl music license,0,1,0%,45
social media engagement strategy social media platform,0,1,0%,45
marketing ideas for pubs,0,1,0%,46
how to run a pub uk,0,1,0%,47
ppl prs cost,0,1,0%,47
public music licence cost,0,1,0%,47
pub leasing,0,1,0%,48
want to run a pub,0,1,0%,48
ppl music licence uk,0,1,0%,49
the music license,0,1,0%,49
how much is a prs licence for an office,0,1,0%,50
pub fun,0,1,0%,50
categories for pub quiz,0,1,0%,51
prs music licence,0,1,0%,51
how to start running a pub,0,1,0%,52
the music licence cost,0,1,0%,52
bar events uk,0,1,0%,53
open a pub,0,1,0%,53
ppl prs music licence cost,0,1,0%,53
can you claim vat on alcohol,0,1,0%,54
how much is a music licence for a cafe,0,1,0%,54
pub purchasing,0,1,0%,54
pub tenancies,0,1,0%,54
what insurance do pubs need,0,1,0%,54
a premises licence,0,1,0%,55
opening your own pub,0,1,0%,55
prs and ppl,0,1,0%,55
run a pub tenancy,0,1,0%,55
how to become a pub landlord,0,1,0%,56
late bar insurance,0,1,0%,56
prs fees,0,1,0%,56
public music licence,0,1,0%,57
ppl license cost music,0,1,0%,58
leasing a pub,0,1,0%,59
music licence ppl prs,0,1,0%,59
how do i go about running a pub,0,1,0%,62
personal pub license,0,1,0%,62
hospitality marketing content surrey,0,1,0%,63
alcohol days of the week,0,1,0%,70
dinner ideas for christmas in twickenham,0,1,0%,70
single impression moulds bucks,0,1,0%,72
